model_id,LHS_ICaL,LHS_INa,LHS_INaCa,LHS_INaK,LHS_IKr,LHS_IKs,LHS_Ito,concentration_uM,APD90,APD30,triangulation,Vpeak,Vrest,EAD,max_repol_rate
1,1.66712530280973,1.58422786120084,1.33355027907539,1.25207012855353,2,1.46625357190836,0.795559355367615,0.328,310.58614909762,179.649003794033,130.937145303587,39.0423181730857,-88.6847261879331,0,-2.59902057222055
2,1.60748560529636,1.35056448125833,1.4293407191597,1.03796234910971,1.40338292856475,1.72619819786196,1.1561628758251,0.328,380.784591256046,228.105079739246,152.679511516801,34.8653106848564,-88.3237467847034,0,-2.14790197900762
3,0.81943647190566,1.06700152090386,0.920567089226194,1.75022995323641,0.813581255017887,1.2362521639196,0.889428969443943,0.328,310.44027360574,174.240158336254,136.200115269486,32.0099879255825,-89.629406393031,0,-2.35256832814799
4,1.27256943476704,1.74161443151063,1.28718866578003,1.66572390021344,1.63575991288039,1.53429001897035,0.697863550749284,0.328,297.231749953378,159.939760192695,137.291989760683,41.4245151812828,-89.3510880897021,0,-3.74548893495052
5,0.53707275747463,0.789658183989127,1.19270095566806,0.56395417746296,1.49424403436204,1.79488431551683,0.750897089997232,0.328,308.227960539377,203.192023039286,105.03593750009,24.3984610142399,-87.9134368720252,0,-1.06386727081778
6,1.32730637232664,1.19078224735637,1.72277200321258,0.5,0.956576518268297,1.90959343842377,1.37416473095208,0.328,494.416711438226,291.421786647818,202.994924790408,27.6660477804886,-87.4274206948409,0,-0.91110439822323
7,1.22208132143514,0.530069256695581,0.527915871113222,0.888666493550028,0.612115787950445,0.765354881497578,0.966807816466722,0.328,367.393860841344,193.565444016255,173.828416825089,28.4503426159578,-88.4957508113743,0,-0.922925515372484
8,1.84227520205107,1.13992482519661,0.765463556604139,1.36021536683808,1.57527757796957,1.88474556612076,1.22882387184365,0.328,282.310981660905,172.125131904268,110.185849756636,33.1586106736875,-89.0183688808798,0,-3.19815252056616
9,1.03352111934377,0.684454344999058,1.89718404934272,1.89479895018842,1.20385039670378,1.37703263940845,1.54897134946353,0.328,349.331794122315,244.209922514336,105.121871607979,25.0374598415363,-89.6229284553517,0,-1.16923575229344
10,0.927143700795305,0.8813331143729,1.67884321829077,0.736073190990768,1.76425348748498,1.04976808191181,1.68620788777502,0.328,347.376336399067,240.734764571733,106.641571827334,26.0317137181984,-87.9514235806138,0,-2.02357119633527
11,0.995632319526428,0.836508194451878,0.969769270122298,1.24066932783597,1.19084200827535,1.29168278874821,0.552429491125788,0.328,320.648780100241,197.287078631359,123.361701468883,28.507303513246,-88.8837550343144,0,-1.0545325984003
12,1.58594447884161,1.45601888127306,1.24634346693357,0.905076842456267,1.83878058175527,1.97631625475551,1.85427717184918,0.328,327.442509369084,193.990729116816,133.451780252268,36.4268601035726,-88.1721134274425,0,-4.53712456435228
13,1.38967646012274,1.54768595840245,0.727345752555471,1.8209432742756,1.28688188252189,1.42528088260453,1.63583088577744,0.328,269.779408787925,146.772941516013,123.006467271913,39.1960027158468,-89.6832714653081,0,-5.46406879183937
14,0.8791933860825,1.42434113050631,0.687086092785559,1.52533948013612,1.31234247240797,1.11717761346156,0.673776355296478,0.328,259.955717192099,142.684256430111,117.271460761988,37.7892142133345,-89.3942686608112,0,-2.9881757718235
15,0.7382881908222,1.78333849667776,1.04390978579541,1.48316452604914,1.9032814704744,1.60128357169576,1.9283178701991,0.328,239.669038639361,125.318788813274,114.350249826087,41.7188854848513,-89.3378915295084,0,-8.69406875457991
16,1.40587098362423,0.997534388594502,0.845763726341934,1.10376733972174,1.06881238136326,1.00309813787336,1.95948059982875,0.328,341.195879327837,202.932705232901,138.263174094936,29.3801418716891,-88.6519112614688,0,-1.89519043672063
17,0.562989364094147,0.990991381661493,1.13176639718458,0.976841329921532,0.655393301923643,0.545906439733334,0.625928776986139,0.328,379.802600852891,214.109978722586,165.692622130305,29.1531197313771,-88.5977627507398,0,-1.63142969171822
18,1.76977889440951,1.63258328725857,0.55207519270947,0.804049287319923,0.548699683200243,0.665350877800119,1.13052504743309,0.328,414.711769421274,184.145230593334,230.56653882794,38.1429932296387,-88.2454970412967,0,-4.84846737418787
19,1.46144837345462,0.89726038792424,1.94258644582767,0.621246398663973,1.73632316819814,0.608251452556612,1.86775730964666,0.328,416.771109588879,285.947808051071,130.823301537808,27.6939801562654,-87.5128490675131,0,-1.05532221998262
20,0.618253593186032,1.81083509738985,1.97150852831942,1.63363852115331,1.51029191538901,0.798705291265933,1.78122809072233,0.328,295.063532128302,146.242121051768,148.821411076533,41.9408201074282,-89.4790562746832,0,-8.51857830032796
21,0.790408169817435,0.551711981177109,1.46290893423648,1.42746131963894,1.6975400674873,0.708642545502916,0.934848311187188,0.328,289.844262106466,202.545268280333,87.2989938261322,24.0904697215705,-89.1535938314404,0,-1.22589837907649
22,1.9787951481784,1.94242182783527,1.06751301471552,1.99069065113588,0.752080140878114,1.64496262087132,1.02427654177973,0.328,364.444814905857,166.117512776098,198.327302129759,43.3312381318147,-89.68197596639,0,-4.42321424115914
23,1.11841965760452,0.634782880391825,0.821460089080159,1.91770991727711,0.737898289299064,0.917101413455969,1.34277598010298,0.328,317.616023110483,198.562616228124,119.053406882359,24.8214814196952,-89.8025269985163,0,-1.08152352822521
24,1.05995366655891,1.66938130634884,1.58141485944428,1.17312730709688,0.522432759733504,1.16787945687241,1.49237111592671,0.328,464.594601114493,227.435738294458,237.158862820035,36.1958537108239,-88.6150562033388,0,-4.80424596840775
